Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-05-16 06:55:33,false,"Sydney Running","5.01","364","00:29:40","149","165","3.5","169","176","5:55","5:08","43","50","1.00","0.0","5,016","20.0","No","00:00:58.5","4","25.0","--","--","--","00:29:32","00:30:04","15","30"
Running,2026-05-16 06:51:46,false,"Sydney Running","0.54","34","00:03:14.9","122","132","0.9","167","173","6:03","5:35","2","5","0.99","0.0","544","24.0","No","00:03:14.9","1","26.0","--","--","--","00:03:13","00:03:14.9","24","30"
Treadmill Running,2026-02-02 21:04:07,false,"Treadmill Running","2.38","206","00:48:12","91","104","0.3","44","240","20:15","8:12","--","--","0.18","0.0","3,888","31.0","No","00:48:12","1","33.0","--","--","--","00:08:01","00:48:12","--","--"
Treadmill Running,2026-02-02 12:22:28,false,"Treadmill Running","1.25","79","00:30:13","76","108","0.2","54","240","24:10","9:52","--","--","0.18","0.0","2,460","31.0","No","00:26:29","1","31.0","--","--","--","00:06:09","00:26:29","--","--"
Running,2025-11-05 13:24:49,false,"Sydney Running","5.54","387","00:30:09","142","154","3.6","168","177","5:27","4:38","45","68","1.09","0.0","5,078","28.0","No","00:04:05.4","4","30.0","--","--","--","00:29:57","00:31:13","7","61"
Running,2025-11-03 13:23:32,false,"Sydney Running","5.35","387","00:30:24","158","177","3.5","168","176","5:41","4:50","51","67","1.05","0.0","5,140","26.0","No","00:03:21.1","4","30.0","--","--","--","00:30:18","00:30:49","4","46"
Running,2025-10-20 11:57:59,false,"Sydney Running","5.75","410","00:31:12","157","180","3.7","169","176","5:26","4:36","27","50","1.09","0.0","5,264","30.0","No","00:05:34.6","4","32.0","--","--","--","00:30:45","00:31:51","5","48"
Running,2025-10-13 12:22:09,false,"Sydney Running","0.57","50","00:03:42.2","167","173","1.6","169","176","6:32","5:16","15","--","0.91","0.0","626","26.0","No","00:03:42.2","1","28.0","--","--","--","00:03:36","00:03:42.2","13","31"
Running,2025-10-13 11:46:17,false,"Sydney Running","5.02","346","00:26:24","149","167","3.6","171","200","5:16","4:44","20","63","1.11","0.0","4,510","26.0","No","00:00:58.6","4","30.0","--","--","--","00:26:22","00:27:31","1","48"
Running,2025-09-29 12:08:19,false,"Sydney Running","5.04","362","00:27:08","155","175","3.7","167","207","5:23","4:44","30","41","1.11","0.0","4,548","26.0","No","00:00:56.3","4","29.0","--","--","--","00:27:00","00:29:24","7","49"
Running,2025-09-17 12:41:21,false,"Sydney Running","5.05","355","00:27:32","152","175","3.9","168","184","5:27","4:35","37","52","1.10","0.0","4,662","29.0","No","00:00:05.3","5","31.0","--","--","--","00:27:02","00:31:11","6","53"
Running,2025-09-14 07:02:59,false,"Sydney Running","5.01","351","00:27:28","153","164","3.7","175","182","5:29","4:47","40","45","1.04","0.0","4,804","15.0","No","00:00:56.3","4","24.0","--","--","--","00:27:21","00:27:28","18","33"
Running,2025-09-09 12:47:40,false,"Sydney Running","5.01","353","00:28:54","153","184","3.3","168","223","5:46","4:47","35","63","1.03","0.0","4,928","26.0","No","00:01:07.3","4","30.0","--","--","--","00:28:33","00:36:18","8","58"
Running,2025-04-21 06:47:39,false,"Sydney Running","7.00","498","00:41:25","155","171","3.4","176","226","5:55","5:00","79","122","0.96","0.0","7,270","22.0","No","00:03:25.1","5","27.0","--","--","--","00:41:22","00:43:50","44","100"
Running,2025-04-19 06:49:08,false,"Sydney Running","7.01","515","00:39:02","162","181","3.9","177","186","5:34","4:27","58","54","1.01","0.0","6,918","17.0","No","00:03:17.5","5","22.0","--","--","--","00:39:01","00:39:02","10","23"
Running,2025-04-12 07:27:14,false,"Sydney Running","0.40","39","00:03:58.8","128","138","0.7","131","174","9:53","5:55","11","1","0.77","0.0","562","24.0","No","00:03:58.8","1","26.0","21","21","21","00:03:53","00:03:58.8","15","26"
Running,2025-04-12 06:57:08,false,"Sydney Running","5.00","375","00:29:19","154","169","3.3","173","178","5:51","5:20","43","41","0.99","0.0","5,090","20.0","No","00:00:59.4","4","24.0","--","--","--","00:29:13","00:29:19","11","23"
Running,2025-04-12 06:52:48,false,"Sydney Running","0.47","31","00:03:22.1","126","143","0.4","150","172","7:14","6:06","--","9","0.92","0.0","530","24.0","No","00:03:22.1","1","26.0","--","--","--","00:03:18","00:03:22.1","19","30"
Running,2025-03-19 09:59:37,false,"Sydney Running","0.86","77","00:15:07","100","133","0.9","69","169","17:34","6:30","2","7","0.82","0.0","1,236","29.0","No","00:15:07","1","31.0","--","--","--","00:08:00","00:15:07","13","30"
Treadmill Running,2024-05-05 08:09:22,false,"Treadmill Running","0.55","39","00:05:51.9","103","120","0.2","113","172","10:42","5:17","--","--","0.83","0.0","652","28.0","No","00:05:51.9","1","29.0","--","--","--","00:04:47","00:05:51.9","--","--"
